Year,BEV,PHEV,Region
2024,3.6,2.0,United Kingdom
2025,4.73,1.82,Austria
2025,6.43,5.49,Belgium
2025,0.64,0.19,Bulgaria
2025,0.59,0.6,Croatia
2025,0.48,0.29,Cyprus
2025,0.81,0.47,Czech Rep.
2025,17.26,4.01,Denmark
2025,1.38,1.05,Estonia
2025,2.9,1.87,European Union
2025,3.92,4.3,Finland
2025,3.82,1.87,France
2025,4.06,2.14,Germany
2025,0.45,0.51,Greece
2025,2.06,0.27,Hungary
2025,3.54,2.13,Ireland
2025,0.87,0.83,Italy
2025,1.32,0.47,Latvia
2025,5.89,0.61,Liechtenstein
2025,1.12,0.94,Lithuania
2025,8.04,3.64,Luxembourg
2025,2.75,1.35,Malta
2025,6.99,4.98,Netherlands
2025,28.8,6.06,Norway
2025,0.44,0.39,Poland
2025,3.42,2.24,Portugal
2025,0.64,0.2,Romania
2025,0.65,0.45,Slovakia
2025,1.68,0.38,Slovenia
2025,1.02,1.17,Spain
2025,8.26,6.64,Sweden
2025,5.06,2.43,Switzerland
2025,1.67,0.3,Turkey
2025,4.62,2.31,United Kingdom
