Region,Q_Year,BEV market share,Total car registrations
Spain,Q2 2019,0.72,375553
Spain,Q3 2019,0.74,272845
Spain,Q4 2019,0.88,292963
Spain,Q1 2020,1.81,218703
Spain,Q2 2020,1.01,121152
Spain,Q3 2020,1.85,255581
Spain,Q4 2020,3.13,255774
Spain,Q1 2021,1.85,186055
Spain,Q2 2021,2.15,270777
Spain,Q3 2021,3.02,191122
Spain,Q4 2021,4.09,211523
Spain,Q1 2022,4.41,164399
Spain,Q2 2022,2.91,243359
Spain,Q3 2022,3.52,192524
Spain,Q4 2022,4.43,213115
Spain,Q1 2023,4.45,237563
Spain,Q2 2023,4.97,267858
Spain,Q3 2023,5.2,205959
Spain,Q4 2023,7.15,237979
Spain,Q1 2024,4.65,244879
Spain,Q2 2024,4.74,290364
Spain,Q3 2024,6.14,209455
Spain,Q4 2024,7.12,272187
Spain,Q1 2025,6.88,279368
Spain,Q2 2025,8.17,330433
Spain,Q3 2025,10.55,244857
Spain,Q4 2025,10.06,293992
Spain,Q1 2026,9.06,300529
Spain,Q2 2026,10.36,347182
Sweden,Q1 2019,5.54,73880
Sweden,Q2 2019,4.55,94002
Sweden,Q3 2019,4.74,79892
Sweden,Q4 2019,3.18,108262
Sweden,Q1 2020,8.52,66141
Sweden,Q2 2020,6.0,59544
Sweden,Q3 2020,9.21,76959
Sweden,Q4 2020,13.06,89380
Sweden,Q1 2021,5.62,90865
Sweden,Q2 2021,21.27,82293
Sweden,Q3 2021,24.95,59220
Sweden,Q4 2021,29.27,68623
Sweden,Q1 2022,28.29,69679
Sweden,Q2 2022,26.88,74445
Sweden,Q3 2022,30.27,60456
Sweden,Q4 2022,44.36,83447
Sweden,Q1 2023,36.18,63304
Sweden,Q2 2023,38.18,77359
Sweden,Q3 2023,41.51,69306
Sweden,Q4 2023,38.82,79858
Sweden,Q1 2024,30.87,59822
Sweden,Q2 2024,32.47,72472
Sweden,Q3 2024,39.03,61097
Sweden,Q4 2024,37.39,76191
Sweden,Q1 2025,32.97,63444
Sweden,Q2 2025,37.08,77532
Sweden,Q3 2025,35.79,63051
Sweden,Q4 2025,39.86,68971
Sweden,Q1 2026,40.73,61960
Sweden,Q2 2026,42.01,79891
United Kingdom,Q1 2019,0.86,701036
United Kingdom,Q2 2019,1.05,568209
United Kingdom,Q3 2019,2.21,593026
United Kingdom,Q4 2019,2.84,448869
United Kingdom,Q1 2020,3.78,483557
United Kingdom,Q2 2020,7.47,169945
United Kingdom,Q3 2020,6.04,590154
United Kingdom,Q4 2020,10.74,387408
United Kingdom,Q1 2021,7.47,425525
United Kingdom,Q2 2021,8.69,484448
United Kingdom,Q3 2021,12.6,406641
United Kingdom,Q4 2021,19.84,330567
United Kingdom,Q1 2022,15.37,417560
United Kingdom,Q2 2022,13.29,384519
United Kingdom,Q3 2022,14.86,406289
United Kingdom,Q4 2022,22.58,405695
United Kingdom,Q1 2023,15.42,494260
United Kingdom,Q2 2023,16.85,455460
United Kingdom,Q3 2023,17.04,502188
United Kingdom,Q4 2023,16.88,451146
United Kingdom,Q1 2024,15.45,545548
United Kingdom,Q2 2024,17.95,461215
United Kingdom,Q3 2024,20.27,507331
United Kingdom,Q4 2024,28.8,388960
United Kingdom,Q1 2025,22.03,545548
United Kingdom,Q2 2025,21.07,496671
United Kingdom,Q3 2025,23.24,535953
United Kingdom,Q4 2025,28.02,442351
United Kingdom,Q1 2026,22.38,614854
United Kingdom,Q2 2026,28.1,523075
